epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.255,1.48438,2.75929,1.24406,0.00658,0.89203,0.26323,0.14086,1.30226,3.5014,1.12558,0.00053979,0.00053979,0.00053979
2,355.343,1.40889,1.89186,1.18605,0.66591,0.18047,0.4505,0.25607,1.43724,3.08851,1.2663,0.00104123,0.00104123,0.00104123
3,525.44,1.4002,1.6584,1.20931,0.56432,0.40653,0.41691,0.23771,1.53524,2.47336,1.38257,0.00148766,0.00148766,0.00148766
4,685.254,1.40096,1.54764,1.23112,0.59899,0.60664,0.60355,0.32959,1.48775,2.02762,1.25193,0.00141945,0.00141945,0.00141945
5,858.528,1.35751,1.42344,1.19754,0.6398,0.56324,0.63218,0.36888,1.46753,1.78261,1.28923,0.00133693,0.00133693,0.00133693
6,1031.3,1.36103,1.33514,1.17139,0.63503,0.64545,0.66232,0.37732,1.48589,1.58559,1.30886,0.00125442,0.00125442,0.00125442
7,1213.98,1.33507,1.26786,1.16355,0.72507,0.68164,0.71577,0.40373,1.47662,1.33505,1.25884,0.0011719,0.0011719,0.0011719
8,1379.79,1.29884,1.16611,1.16702,0.63866,0.72162,0.65508,0.37988,1.49853,1.36724,1.32261,0.00108938,0.00108938,0.00108938
9,1547.23,1.32018,1.19687,1.17945,0.67624,0.67294,0.67627,0.38759,1.44671,1.37269,1.27023,0.00100687,0.00100687,0.00100687
10,1709.96,1.26439,1.11209,1.14997,0.65977,0.73438,0.73954,0.42842,1.4416,1.31733,1.25957,0.000924352,0.000924352,0.000924352
11,1877.18,1.26086,1.09659,1.14658,0.63168,0.70656,0.68934,0.40553,1.47935,1.21425,1.26616,0.000841835,0.000841835,0.000841835
12,2047.93,1.26678,1.09755,1.17032,0.74937,0.73272,0.75854,0.42039,1.50565,1.11759,1.27672,0.000759318,0.000759318,0.000759318
13,2218.41,1.23024,1.00075,1.13504,0.72585,0.72065,0.73262,0.4106,1.52027,1.06569,1.29989,0.000676802,0.000676802,0.000676802
14,2389.93,1.21063,0.9665,1.12613,0.72918,0.69183,0.73987,0.42863,1.44205,1.10267,1.24696,0.000594286,0.000594286,0.000594286
15,2562.45,1.17947,0.89543,1.10677,0.71771,0.74785,0.76199,0.44317,1.4254,1.03061,1.23325,0.000511769,0.000511769,0.000511769
16,2733.83,1.18274,0.87974,1.10383,0.70727,0.75931,0.74668,0.4208,1.44458,1.05133,1.23778,0.000429253,0.000429253,0.000429253
17,2900.22,1.14408,0.83151,1.09712,0.72929,0.73653,0.76087,0.44193,1.43999,0.99849,1.23464,0.000346736,0.000346736,0.000346736
18,3062.92,1.14205,0.82715,1.09622,0.72181,0.80089,0.77503,0.45445,1.39164,0.9731,1.21647,0.00026422,0.00026422,0.00026422
19,3223.54,1.12491,0.80076,1.0786,0.71446,0.77581,0.76897,0.4472,1.40852,1.00537,1.22302,0.000181703,0.000181703,0.000181703
20,3383.62,1.10028,0.75652,1.07273,0.76159,0.74452,0.77522,0.4507,1.41504,0.97944,1.22242,9.91865e-05,9.91865e-05,9.91865e-05
